vetted,name,slug,category,min_stage,max_stage,focus_tags,equipment,exclusion_flags,cues,modifications,source_ref,benefit,media_url,open_questions
Y,Brisk walk,brisk_walk_moderate,walking,t1_early,t3_late,aerobic,none,overheating_risk,"Pace where you can talk but not sing. 20-30 min. Water before, during, after.",Shorten to 10 min. Split into two walks. Move indoors if it's hot or humid.,SOGC/CSEP 2019 Rec 2 - talk test / SOGC/CSEP 2019 Box 1 - avoid excessive heat/humidity; hydrate,"The single most studied activity in pregnancy. Reduces the odds of gestational diabetes, pre-eclampsia, and high blood pressure. No equipment, no learning curve.",,Any pace or duration ceiling for Alex specifically?
Y,Easy recovery walk,easy_recovery_walk,walking,t1_early,t3_late,"recovery, aerobic",none,overheating_risk,"Conversational, unhurried. 10-15 min. This counts. It is not a lesser option.",Five minutes is a complete session on a hard day.,SOGC/CSEP 2019 Rec 2 - talk test,"Movement below your usual effort still counts. Walking is linked to lower odds of developing abdominal separation, which makes easy days genuinely productive.",,
Y,Box squat,bodyweight_squat_to_box,strength,t1_early,t3_late,"legs, glutes",chair,,"Feet hip-width or wider. Sit back to a chair, tap, stand. Exhale on the way up. 8-12.",Raise the chair height. Hold a doorframe for support.,"SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence","Builds the legs and glutes you'll use for every stand-up, stair, and eventually every pick-up of a car seat. The box means you can always regress it.",https://www.youtube.com/shorts/v2GpE3KNzGQ,
Y,Wall push-up,wall_pushup,strength,t1_early,t3_late,"chest, shoulders",wall,,"Hands on wall shoulder-height. Body in one line. Lower with control, press away. 10-15.",Step closer to the wall to make it easier. Incline on a counter to make it harder.,"SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence",Upper body strength without lying down or loading the belly. Scales in both directions just by moving your feet.,https://www.youtube.com/shorts/yKxkkxkWRYI,add in normal push uo as an option? For earlier stages?
Y,Bird dog,bird_dog,strength,t1_early,t3_late,"core, posterior_chain",none,coning_risk,"Quadruped. Extend opposite arm and leg, keep hips level. 5 each side. Stop if the belly cones.","Extend only the leg, or only the arm. Reduce the range.",SOGC/CSEP 2019 impl. - diastasis: avoid abdominal curls,"Trains deep core control without curling the spine, which is the kind of core work that stays appropriate as the belly grows.",https://www.youtube.com/shorts/BAqsW014YAI,Is quadruped core work fine to continue as she progresses?
Y,Glute bridge,glute_bridge,strength,t1_early,t3_late,"glutes, posterior_chain",none,supine,"On the back, feet flat. Exhale, press through heels, lift hips. Lower slowly. 10-12.","If you feel light-headed, nauseous or unwell on your back, switch to the side-lying clamshell.","SOGC/CSEP 2019 Rec 6 - supine is SYMPTOM-triggered, not calendar",Strong glutes carry load the low back would otherwise take. One of the highest-value movements for pregnancy back pain.,https://www.youtube.com/shorts/RrU4zx4ysnI,"Guideline says supine is symptom-triggered, not week-based. Agree?"
Y,Side-lying clamshell,side_lying_clamshell,strength,t1_early,t3_late,"glutes, hips",none,,"On your side, knees bent and stacked. Lift the top knee without rolling the hips back. 12 each side.",Add a band above the knees to progress. Reduce range if the hip pinches.,"SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence",Targets the side glutes that stabilise the pelvis. Directly relevant to the hip and pelvic girdle pain that often shows up later.,https://www.youtube.com/shorts/EByLjnoF2PU,
Y,Seated band row,band_row_seated,strength,t1_early,t3_late,"back, posture",band,,"Band anchored ahead. Sit tall, pull elbows back past the ribs, squeeze. Exhale on the pull. 10-12.",Loop the band around a doorknob. Use a lighter band.,"SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence",Counteracts the forward pull on the shoulders as the chest changes. Upper back strength is what keeps posture from collapsing.,https://www.youtube.com/shorts/oIIRajGaSfo,
Y,Suitcase carry,suitcase_carry,strength,t1_early,t3_late,"core, grip, posture",dumbbell,"valsalva, fall_risk","One weight, one hand. Walk tall, resist the lean. 20-30s per side. Keep breathing - do not hold your breath.",Go lighter. Stand still and hold rather than walking.,SOGC/CSEP 2019 impl. - avoid breath-hold if light-headed w/ Valsalva,"Trains the core to resist being pulled sideways, which is exactly what carrying a baby on one hip demands. Practical strength.",https://www.youtube.com/shorts/iTjwbts8Djw,
Y,Warm-up and cool-down,warmup_cooldown_general,education,t1_early,t3_late,education,none,,"Include both in every session. Ligaments loosen in pregnancy, which changes range of motion and raises injury risk.",Five minutes of easy walking counts as either.,"SOGC/CSEP 2019 impl. - ligament laxity, warm-up/cool-down suggested","Pregnancy hormones loosen ligaments, so joints move further than they used to and injury risk goes up. A few easy minutes at each end is genuine protection.",,
Y,Incline push-up,incline_pushup,strength,t1_early,t3_late,"chest, shoulders",bench,,"Hands on a counter or bench. Body in one line, lower with control, press away. 8-12.","Use a higher surface to make it easier, lower to make it harder.","SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence",The middle rung between wall and floor. Lets you keep progressing the same pattern instead of being stuck at one difficulty for nine months.,https://www.youtube.com/shorts/7f8JOu0i1cQ,Approved 8/5 — read cues before seeding
Y,Push-up (floor),standard_pushup,strength,t1_early,t2_golden,"chest, shoulders",none,"prone, coning_risk","Hands under shoulders, body in one line. Lower with control. Stop if the belly cones. From knees is a full version, not a lesser one.",Drop to knees. Move to incline once lying face-down stops being comfortable.,"SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence","The hardest rung of the same pattern. Face-down gets impractical as the bump grows, so this one falls out of the pool on its own and the incline takes over.",https://www.youtube.com/shorts/W0GFFzyYUWI,Approved 8/5 — read cues before seeding
Y,Goblet squat,goblet_squat,strength,t1_early,t3_early,"legs, glutes, labor_prep",dumbbell,valsalva,"Hold one dumbbell at your chest. Feet a little wider than hips. Sit down between your hips, chest tall. Exhale on the way up. Do not hold your breath at any point. 8-12 reps.","Go lighter, or sit back to a chair or box. Reduce depth as the bump grows - a shallower squat is still a squat.","Duchette 2024 IJWH review of prenatal RT - RT safe/beneficial; balance caution grows with gestation. Petrov Fieril 2015 RCT (Acta Obstet Gynecol Scand) - squats retained, made less deep","The squat is the single most transferable movement in pregnancy - it is how you get off the floor, off the toilet, and out of a chair for the next nine months. Holding the weight at your chest actually helps balance rather than hurting it.",https://www.youtube.com/shorts/K2TumOeks2A,Capped at t3_early on balance grounds - confirm with OB whether to extend
Y,Dumbbell Romanian deadlift,dumbbell_rdl,strength,t1_early,t3_late,"posterior_chain, glutes, hamstrings",dumbbell,valsalva,"Dumbbells in front of your thighs. Push your hips back, keep a long spine, lower until you feel your hamstrings. Stand tall by squeezing your glutes. Exhale on the way up. 8-12 reps.",Shorten the range. Go lighter. Widen your stance as the bump grows.,"Duchette 2024 IJWH review of prenatal RT - RT improves posture, lumbar lordosis, back pain. SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence","Around three in four pregnant women get back pain. Strong glutes and hamstrings take load off the low back, and this is the most direct way to build them. Bilateral and stable - no balance demand.",https://www.youtube.com/shorts/CBOhr6H7BEY,
Y,Supported split squat,split_squat_supported,strength,t1_early,t2_late,"legs, glutes, hips",chair,fall_risk,"One foot forward, one back. Hold a chair or wall with one hand. Lower straight down, back knee toward the floor. 8-10 each side.",Reduce depth. Hold with both hands. Drop to a static hold if the movement feels unsteady.,"Duchette 2024 IJWH review of prenatal RT - lunges rely on balance, less safe as centre of gravity shifts; support mitigates","Single-leg strength is what keeps stairs, curbs and getting out of the car easy in the third trimester. The hand support is not a downgrade - it is what makes this appropriate to keep doing while pregnant.",https://www.youtube.com/shorts/C3UGTxApK-w,Capped at t2_late on balance grounds
Y,Low step-up,step_up_low,strength,t1_early,t2_late,"legs, glutes",bench,fall_risk,"Use a low, stable step. Step up under control, step down under control. Do not push off the bottom foot. 8-10 each side.",Lower the step height. Hold a wall or rail. Reduce reps.,Duchette 2024 IJWH review of prenatal RT - balance-dependent movements need caution as gestation advances,"Direct practice for stairs and curbs, which get harder as your centre of gravity moves forward. Builds the same pattern you use dozens of times a day.",https://www.youtube.com/shorts/S9uzCELLo_0,Capped at t2_late on balance grounds
Y,Heel raise,heel_raise,strength,t1_early,t3_late,"calves, ankles, circulation",wall,,"Hand on a wall for balance. Rise onto the balls of your feet, pause, lower slowly. 12-15 reps.",Hold with both hands. Do it seated if standing is uncomfortable.,Petrov Fieril 2015 RCT (Acta Obstet Gynecol Scand) - the specific substitution used in place of squat jumps in the prenatal RCT protocol,"Calf work pumps fluid out of the lower legs, which is where swelling collects. This is the exact movement used as the safe substitute in a prenatal resistance training trial.",https://www.youtube.com/shorts/Ead8v_6GLe8,
Y,Seated dumbbell shoulder press,db_shoulder_press_seated,strength,t1_early,t3_late,"shoulders, upper_body",dumbbell,valsalva,"Sit tall on a bench or chair, back supported. Press the dumbbells overhead without arching your low back. Exhale as you press. 8-12 reps.",Go lighter. Press one arm at a time. Reduce range if your shoulders feel tight.,"Duchette 2024 IJWH review of prenatal RT - upright position, no supine concern. SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence","Upright pressing stays available the whole way through - no bump in the way, no lying on your back. You will use this strength every time you lift a car seat.",https://www.youtube.com/shorts/kzKsy-TtddE,
Y,Incline dumbbell press,incline_db_press,strength,t1_early,t3_late,"chest, shoulders","bench, dumbbell",valsalva,"Set the bench to an incline - roughly 45 degrees or higher. Press the dumbbells up, lower with control. 8-12 reps.",Raise the incline further as pregnancy progresses. Go lighter. Switch to a seated press if it stops feeling good.,Duchette 2024 IJWH review of prenatal RT - inclined bench named as the specific modification for supine pressing,This is the pressing movement that survives all three trimesters. The incline is not a compromise - it is the named modification that keeps you off your back while still training the same muscles.,https://www.youtube.com/shorts/wedOO1xg2lI,Confirm minimum incline angle with OB or PT
Y,Single-arm dumbbell row,single_arm_db_row,strength,t1_early,t3_late,"back, posture","bench, dumbbell",,"One hand and knee on a bench, flat back. Pull the dumbbell toward your hip, elbow close. Exhale on the pull. 8-12 each side.",Stand and brace on a chair instead of kneeling on a bench. Go lighter.,"Duchette 2024 IJWH review of prenatal RT - RT improves posture and lumbar lordosis. SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence","Your chest gets heavier and your shoulders get pulled forward. Rowing is the direct counter, and upper back strength is what stops posture collapsing as the pregnancy goes on.",https://www.youtube.com/shorts/fCiy1gMcsa4,
Y,Band pull-apart,band_pull_apart,strength,t1_early,t3_late,"back, posture, shoulders",band,,"Hold a band at shoulder height, arms straight. Pull it apart until it touches your chest, squeeze your shoulder blades, return slowly. 12-15 reps.",Widen your grip to make it easier. Use a lighter band.,"Duchette 2024 IJWH review of prenatal RT - bands named as a safe alternative to free weights. SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence","Low-effort, high-value postural work you can do anywhere. Bands are specifically named as a safe alternative when a dropped weight would be a concern.",https://www.youtube.com/shorts/SuvO4TBwSu4,
Y,Farmer carry,farmer_carry,strength,t1_early,t3_late,"core, grip, posture",dumbbell,valsalva,"A dumbbell in each hand, arms at your sides. Walk tall for 20-40 seconds. Keep breathing throughout - do not hold your breath.",Go lighter. Stand and hold rather than walking. Shorten the time.,"Duchette 2024 IJWH review of prenatal RT - avoid Valsalva; breathing cue is the control. SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence","Loaded carries build the whole trunk without any crunching or lying down. Practical strength for carrying a baby, a car seat, and groceries at the same time.",https://www.youtube.com/shorts/HDoNIkik8r8,
Y,Incline walk,incline_walk,walking,t1_early,t3_late,"aerobic, conditioning",none,overheating_risk,"Treadmill incline or a hill. Pace where you can talk but not sing. 15-25 min. Water before, during and after.",Reduce the incline. Shorten the time. Move indoors if it is hot or humid.,"SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence - 150 min/wk moderate, talk test. Duchette 2024 IJWH review of prenatal RT - RT + aerobic together best outcomes",Real conditioning without impact or fall risk. Combining aerobic work with strength produces better outcomes than either alone - this is the aerobic half.,,
Y,Stationary bike,stationary_bike,walking,t1_early,t3_late,"aerobic, conditioning",none,overheating_risk,Sit upright rather than leaning forward over the bars. Conversational effort. 15-30 min.,Reduce resistance. Shorten the time. Raise the handlebars so you can stay upright.,"SOGC/CSEP 2019 Rec 4 - aerobic + resistance, high-quality evidence - stationary cycling named as a safer alternative. Petrov Fieril 2015 RCT (Acta Obstet Gynecol Scand) - forward-leaning cycling loads the pelvic floor","Named in the guideline as a safe alternative to outdoor cycling. No fall risk, no impact, and you control the effort exactly. Staying upright keeps load off the pelvic floor.",,Equipment vocab has no 'bike' value - see note
